Match ID,Team,Batters,Positions,Runs,Balls,Strike Rate,Fours,Sixes,Dismissal
87500,Canada,Aaron Johnson,1,23,16,143.75,5,0,1
87500,Canada,Navneet Dhaliwal,2,61,44,138.64,6,3,1
87500,Canada,Pargat Singh,3,5,7,71.43,0,0,1
87500,Canada,Nicholas Kirton,4,51,31,164.52,3,2,1
87500,Canada,Shreyas Movva,5,32,16,200,2,2,0
87500,Canada,Dilpreet Singh,6,11,5,220,1,1,1
87500,Canada,Dillon Heyliger,7,1,1,100,0,0,0
87500,United States,Steven Taylor,1,0,2,0,0,0,1
87500,United States,Monank Patel,2,16,16,100,2,0,1
87500,United States,Andries Gous,3,65,46,141.3,7,3,1
87500,United States,Aaron Jones,4,94,40,235,4,10,0
87500,United States,Corey Anderson,5,3,5,60,0,0,0
87507,Papua New Guinea,Tony Ura,1,2,5,40,0,0,1
87507,Papua New Guinea,Assad Vala,2,21,22,95.45,2,1,1
87507,Papua New Guinea,Lega Siaka,3,1,2,50,0,0,1
87507,Papua New Guinea,Sese Bau,4,50,43,116.28,6,1,1
87507,Papua New Guinea,Hiri Hiri,5,2,6,33.33,0,0,1
87507,Papua New Guinea,Charles Amini,6,12,14,85.71,0,0,1
87507,Papua New Guinea,Kiplin Doriga,7,27,18,150,3,0,0
87507,Papua New Guinea,Chad Soper,8,10,9,111.11,1,0,1
87507,Papua New Guinea,Alei Nao,9,0,0,0,0,0,1
87507,Papua New Guinea,Kabua Morea,10,2,2,100,0,0,0
87507,West Indies,Brandon King,1,34,29,117.24,7,0,1
87507,West Indies,Johnson Charles,2,0,1,0,0,0,1
87507,West Indies,Nicholas Pooran,3,27,27,100,1,2,1
87507,West Indies,Roston Chase,4,42,27,155.56,4,2,0
87507,West Indies,Rovman Powell,5,15,14,107.14,2,0,1
87507,West Indies,Sherfane Rutherford,6,2,7,28.57,0,0,1
87507,West Indies,Andre Russell,7,15,9,166.67,0,1,0
87514,Oman,Kashyap Prajapati,1,0,1,0,0,0,1
87514,Oman,Naseem Khushi,2,6,6,100,1,0,1
87514,Oman,Aqib Ilyas,3,0,1,0,0,0,1
87514,Oman,Zeeshan Maqsood,4,22,20,110,4,0,1
87514,Oman,Khalid Kail,5,34,39,87.18,1,1,1
87514,Oman,Ayaan Khan,6,15,21,71.43,0,1,1
87514,Oman,Mohammad Nadeem,7,6,10,60,0,0,1
87514,Oman,Mehran Khan,8,7,8,87.5,1,0,1
87514,Oman,Shakeel Ahmed,9,11,9,122.22,2,0,1
87514,Oman,Kaleemullah,10,2,3,66.67,0,0,1
87514,Oman,Bilal Khan,11,1,1,100,0,0,0
87514,Namibia,Michael van Lingen,1,0,2,0,0,0,1
87514,Namibia,Nikolaas Davin,2,24,31,77.42,2,1,1
87514,Namibia,Jan Frylinck,3,45,48,93.75,6,0,1
87514,Namibia,Gerhard Erasmus,4,13,16,81.25,1,0,1
87514,Namibia,JJ Smit,5,8,12,66.67,1,0,1
87514,Namibia,David Wiese,6,9,8,112.5,0,1,0
87514,Namibia,Zane Green,7,0,2,0,0,0,1
87514,Namibia,Malan Kruger,8,1,1,100,0,0,0
87521,Sri Lanka,Pathum Nissanka,1,3,8,37.5,0,0,1
87521,Sri Lanka,Kusal Mendis,2,19,30,63.33,1,0,1
87521,Sri Lanka,Kamindu Mendis,3,11,15,73.33,1,0,1
87521,Sri Lanka,Wanindu Hasaranga,4,0,2,0,0,0,1
87521,Sri Lanka,Sadeera Samarawickrama,5,0,1,0,0,0,1
87521,Sri Lanka,Charith Asalanka,6,6,9,66.67,0,0,1
87521,Sri Lanka,Angelo Mathews,7,16,16,100,0,2,1
87521,Sri Lanka,Dasun Shanaka,8,9,10,90,0,1,1
87521,Sri Lanka,Maheesh Theekshana,9,7,16,43.75,1,0,0
87521,Sri Lanka,Matheesha Pathirana,10,0,4,0,0,0,1
87521,Sri Lanka,Nuwan Thushara,11,0,4,0,0,0,1
87521,South Africa,Quinton de Kock,1,20,27,74.07,0,1,1
87521,South Africa,Reeza Hendricks,2,4,2,200,1,0,1
87521,South Africa,Aiden Markram,3,12,14,85.71,0,1,1
87521,South Africa,Tristan Stubbs,4,13,28,46.43,0,0,1
87521,South Africa,Heinrich Klaasen,5,19,22,86.36,1,1,0
87521,South Africa,David Miller,6,6,6,100,1,0,0
87528,Afghanistan,Rahmanullah Gurbaz,1,76,45,168.89,4,4,1
87528,Afghanistan,Ibrahim Zadran,2,70,46,152.17,9,1,1
87528,Afghanistan,Najibullah Zadran,3,2,3,66.67,0,0,1
87528,Afghanistan,Mohammad Nabi,4,14,16,87.5,0,0,0
87528,Afghanistan,Gulbadin Naib,5,4,5,80,0,0,1
87528,Afghanistan,Azmatullah Omarzai,6,5,5,100,0,0,1
87528,Afghanistan,Rashid Khan,7,2,1,200,0,0,0
87528,Uganda,Ronak Patel,1,4,2,200,1,0,1
87528,Uganda,Simon Ssesazi,2,4,4,100,1,0,1
87528,Uganda,Roger Mukasa,3,0,1,0,0,0,1
87528,Uganda,Riazat Ali Shah,4,11,34,32.35,0,0,1
87528,Uganda,Dinesh Nakrani,5,6,8,75,1,0,1
87528,Uganda,Alpesh Ramjani,6,0,2,0,0,0,1
87528,Uganda,Robinson Obuya,7,14,25,56,0,1,1
87528,Uganda,Brian Masaba,8,0,1,0,0,0,1
87528,Uganda,Bilal Hassan,9,8,16,50,1,0,1
87528,Uganda,Cosmas Kyewuta,10,2,2,100,0,0,0
87528,Uganda,Henry Ssenyondo,11,0,1,0,0,0,1
87535,Scotland,George Munsey,1,41,31,132.26,4,2,0
87535,Scotland,Michael Jones,2,45,30,150,4,2,0
87542,Nepal,Kushal Bhurtel,1,7,10,70,1,0,1
87542,Nepal,Aasif Sheikh,2,4,8,50,1,0,1
87542,Nepal,Anil Sah,3,11,12,91.67,2,0,1
87542,Nepal,Rohit Paudel,4,35,37,94.59,5,0,1
87542,Nepal,Kushal Malla,5,9,9,100,1,0,1
87542,Nepal,Dipendra Singh,6,1,6,16.67,0,0,1
87542,Nepal,Sompal Kami,7,0,5,0,0,0,1
87542,Nepal,Gulsan Jha,8,14,15,93.33,0,1,1
87542,Nepal,Karan KC,9,17,12,141.67,0,2,1
87542,Nepal,Sagar Dhakal,10,0,1,0,0,0,0
87542,Nepal,Abinash Bohara,11,0,1,0,0,0,1
87542,Netherlands,Michael Levitt,1,1,3,33.33,0,0,1
87542,Netherlands,Max ODowd,2,54,48,112.5,4,1,0
87542,Netherlands,Vikramjit Singh,3,22,28,78.57,4,0,1
87542,Netherlands,Sybrand Engelbrecht,4,14,16,87.5,1,0,1
87542,Netherlands,Scott Edwards,5,5,8,62.5,0,0,1
87542,Netherlands,Bas de Leede,6,11,10,110,1,0,0
87549,Ireland,Andrew Balbirnie,1,5,10,50,1,0,1
87549,Ireland,Paul Stirling,2,2,6,33.33,0,0,1
87549,Ireland,Lorcan Tucker,3,10,13,76.92,2,0,1
87549,Ireland,Harry Tector,4,4,16,25,0,0,1
87549,Ireland,Curtis Campher,5,12,8,150,1,1,1
87549,Ireland,George Dockrell,6,3,5,60,0,0,1
87549,Ireland,Gareth Delany,7,26,14,185.71,2,2,1
87549,Ireland,Mark Adair,8,3,2,150,0,0,1
87549,Ireland,Barry McCarthy,9,0,6,0,0,0,1
87549,Ireland,Joshua Little,10,14,13,107.69,2,0,1
87549,Ireland,Benjamin White,11,2,4,50,0,0,0
87549,India,Rohit Sharma,1,52,37,140.54,4,3,1
87549,India,Virat Kohli,2,1,5,20,0,0,1
87549,India,Rishabh Pant,3,36,26,138.46,3,2,0
87549,India,Suryakumar Yadav,4,2,4,50,0,0,1
87549,India,Shivam Dube,5,0,2,0,0,0,0
87556,Papua New Guinea,Assad Vala,1,0,2,0,0,0,1
87556,Papua New Guinea,Tony Ura,2,1,6,16.67,0,0,1
87556,Papua New Guinea,Sese Bau,3,5,9,55.56,1,0,1
87556,Papua New Guinea,Lega Siaka,4,12,17,70.59,1,0,1
87556,Papua New Guinea,Hiri Hiri,5,15,19,78.95,2,0,1
87556,Papua New Guinea,Charles Amini,6,5,14,35.71,0,0,1
87556,Papua New Guinea,Kiplin Doriga,7,12,20,60,0,1,1
87556,Papua New Guinea,Chad Soper,8,4,11,36.36,0,0,1
87556,Papua New Guinea,Norman Vanua,9,5,10,50,0,0,1
87556,Papua New Guinea,Alei Nao,10,5,6,83.33,0,0,1
87556,Papua New Guinea,John Kariko,11,0,2,0,0,0,0
87556,Uganda,Roger Mukasa,1,0,3,0,0,0,1
87556,Uganda,Simon Ssesazi,2,1,3,33.33,0,0,1
87556,Uganda,Robinson Obuya,3,1,2,50,0,0,1
87556,Uganda,Riazat Ali Shah,4,33,56,58.93,1,0,1
87556,Uganda,Alpesh Ramjani,5,8,10,80,1,0,1
87556,Uganda,Dinesh Nakrani,6,0,3,0,0,0,1
87556,Uganda,Juma Miyagi,7,13,16,81.25,0,0,1
87556,Uganda,Kenneth Waiswa,8,7,16,43.75,0,0,0
87556,Uganda,Brian Masaba,9,0,1,0,0,0,0
87563,Australia,David Warner,1,56,51,109.8,6,1,1
87563,Australia,Travis Head,2,12,10,120,2,0,1
87563,Australia,Mitchell Marsh,3,14,21,66.67,2,0,1
87563,Australia,Glenn Maxwell,4,0,1,0,0,0,1
87563,Australia,Marcus Stoinis,5,67,36,186.11,2,6,0
87563,Australia,Tim David,6,9,4,225,2,0,1
87563,Oman,Kashyap Prajapati,1,7,16,43.75,1,0,1
87563,Oman,Pratik Athavale,2,0,1,0,0,0,1
87563,Oman,Aqib Ilyas,3,18,18,100,2,1,1
87563,Oman,Zeeshan Maqsood,4,1,7,14.29,0,0,1
87563,Oman,Khalid Kail,5,8,12,66.67,1,0,1
87563,Oman,Ayaan Khan,6,36,30,120,2,2,1
87563,Oman,Shoaib Khan,7,0,4,0,0,0,1
87563,Oman,Mehran Khan,8,27,16,168.75,1,2,1
87563,Oman,Shakeel Ahmed,9,11,10,110,1,0,1
87563,Oman,Kaleemullah,10,6,4,150,0,0,0
87563,Oman,Bilal Khan,11,1,2,50,0,0,0
87570,Pakistan,Mohammad Rizwan,1,9,8,112.5,0,1,1
87570,Pakistan,Babar Azam,2,44,43,102.33,3,2,1
87570,Pakistan,Usman Khan,3,3,3,100,0,0,1
87570,Pakistan,Fakhar Zaman,4,11,7,157.14,0,1,1
87570,Pakistan,Shadab Khan,5,40,25,160,1,3,1
87570,Pakistan,Azam Khan,6,0,1,0,0,0,1
87570,Pakistan,Iftikhar Ahmed,7,18,14,128.57,3,0,1
87570,Pakistan,Shaheen Afridi,8,23,16,143.75,1,2,0
87570,Pakistan,Haris Rauf,9,3,3,100,0,0,0
87570,United States,Steven Taylor,1,12,16,75,1,0,1
87570,United States,Monank Patel,2,50,38,131.58,7,1,1
87570,United States,Andries Gous,3,35,26,134.62,5,1,1
87570,United States,Aaron Jones,4,36,26,138.46,2,2,0
87570,United States,Nitish Kumar,5,14,14,100,1,0,0
87577,Namibia,JP Kotze,1,0,3,0,0,0,1
87577,Namibia,Niko Davin,2,20,12,166.67,4,0,1
87577,Namibia,Jan Frylinck,3,12,14,85.71,2,0,1
87577,Namibia,Gerhard Erasmus,4,52,31,167.74,5,2,1
87577,Namibia,Malan Kruger,5,2,8,25,0,0,1
87577,Namibia,Zane Green,6,28,27,103.7,1,1,1
87577,Namibia,David Wiese,7,14,13,107.69,0,1,1
87577,Namibia,Ruben Trumpelmann,8,1,2,50,0,0,1
87577,Namibia,JJ Smit,9,11,8,137.5,0,1,1
87577,Namibia,Bernard Scholtz,10,6,4,150,0,0,0
87577,Namibia,Tangeni Lungameni,11,0,0,0,0,0,0
87577,Scotland,George Munsey,1,7,15,46.67,0,0,1
87577,Scotland,Michael Jones,2,26,20,130,3,1,1
87577,Scotland,Brandon McMullen,3,19,17,111.76,2,0,1
87577,Scotland,Richie Berrington,4,47,35,134.29,2,2,0
87577,Scotland,Matthew Cross,5,3,5,60,0,0,1
87577,Scotland,Michael Leask,6,35,17,205.88,0,4,1
87577,Scotland,Chris Greaves,7,4,3,133.33,0,0,0
87584,Canada,Aaron Johnson,1,14,13,107.69,3,0,1
87584,Canada,Navneet Dhaliwal,2,6,10,60,1,0,1
87584,Canada,Pargat Singh,3,18,14,128.57,2,0,1
87584,Canada,Dilpreet Bajwa,4,7,9,77.78,1,0,1
87584,Canada,Nicholas Kirton,5,49,35,140,3,2,1
87584,Canada,Shreyas Movva,6,37,36,102.78,3,0,1
87584,Canada,Dillon Heyliger,7,0,2,0,0,0,1
87584,Canada,Saad Bin Zafar,8,1,1,100,0,0,0
87584,Ireland,Andrew Balbirnie,1,17,19,89.47,1,0,1
87584,Ireland,Paul Stirling,2,9,17,52.94,1,0,1
87584,Ireland,Lorcan Tucker,3,10,15,66.67,0,0,1
87584,Ireland,Harry Tector,4,7,5,140,0,0,1
87584,Ireland,Curtis Campher,5,4,7,57.14,0,0,1
87584,Ireland,George Dockrell,6,30,23,130.43,2,1,0
87584,Ireland,Gareth Delany,7,3,7,42.86,0,0,1
87584,Ireland,Mark Adair,8,34,24,141.67,3,1,1
87584,Ireland,Barry McCarthy,9,2,3,66.67,0,0,0
87591,Afghanistan,Rahmanullah Gurbaz,1,80,56,142.86,5,5,1
87591,Afghanistan,Ibrahim Zadran,2,44,41,107.32,3,2,1
87591,Afghanistan,Azmatullah Omarzai,3,22,13,169.23,1,2,1
87591,Afghanistan,Mohammad Nabi,4,0,1,0,0,0,1
87591,Afghanistan,Rashid Khan,5,6,5,120,1,0,1
87591,Afghanistan,Karim Janat,6,1,1,100,0,0,0
87591,Afghanistan,Gulbadin Naib,7,0,2,0,0,0,1
87591,Afghanistan,Najibullah Zadran,8,1,1,100,0,0,0
87591,New Zealand,Finn Allen,1,0,1,0,0,0,1
87591,New Zealand,Devon Conway,2,8,10,80,1,0,1
87591,New Zealand,Kane Williamson,3,9,13,69.23,1,0,1
87591,New Zealand,Daryl Mitchell,4,5,5,100,1,0,1
87591,New Zealand,Glenn Phillips,5,18,18,100,2,0,1
87591,New Zealand,Mark Chapman,6,4,7,57.14,0,0,1
87591,New Zealand,Michael Bracewell,7,0,1,0,0,0,1
87591,New Zealand,Mitchell Santner,8,4,8,50,0,0,1
87591,New Zealand,Matt Henry,9,12,17,70.59,0,1,1
87591,New Zealand,Lockie Ferguson,10,2,5,40,0,0,1
87591,New Zealand,Trent Boult,11,3,7,42.86,0,0,0
87598,Sri Lanka,Pathum Nissanka,1,47,28,167.86,7,1,1
87598,Sri Lanka,Kusal Mendis,2,10,8,125,2,0,1
87598,Sri Lanka,Kamindu Mendis,3,4,5,80,1,0,1
87598,Sri Lanka,Dhananjaya de Silva,4,21,26,80.77,1,0,1
87598,Sri Lanka,Charith Asalanka,5,19,21,90.48,1,1,1
87598,Sri Lanka,Wanindu Hasaranga,6,0,1,0,0,0,1
87598,Sri Lanka,Angelo Mathews,7,16,19,84.21,1,0,1
87598,Sri Lanka,Dasun Shanaka,8,3,7,42.86,0,0,1
87598,Sri Lanka,Maheesh Theekshana,9,0,3,0,0,0,1
87598,Sri Lanka,Matheesha Pathirana,10,0,1,0,0,0,0
87598,Sri Lanka,Nuwan Thushara,11,0,1,0,0,0,0
87598,Bangladesh,Tanzid Hasan,1,3,6,50,0,0,1
87598,Bangladesh,Soumya Sarkar,2,0,2,0,0,0,1
87598,Bangladesh,Litton Das,3,36,38,94.74,2,1,1
87598,Bangladesh,Najmul Hossain Shanto,4,7,13,53.85,0,0,1
87598,Bangladesh,Towhid Hridoy,5,40,20,200,1,4,1
87598,Bangladesh,Shakib Al Hasan,6,8,14,57.14,0,0,1
87598,Bangladesh,Mahmudullah,7,16,13,123.08,0,1,0
87598,Bangladesh,Rishad Hossain,8,1,3,33.33,0,0,1
87598,Bangladesh,Taskin Ahmed,9,0,1,0,0,0,1
87598,Bangladesh,Tanzim Hasan Sakib,10,1,4,25,0,0,0
87605,Netherlands,Michael Levitt,1,0,3,0,0,0,1
87605,Netherlands,Max ODowd,2,2,6,33.33,0,0,1
87605,Netherlands,Vikramjit Singh,3,12,17,70.59,1,0,1
87605,Netherlands,Sybrand Engelbrecht,4,40,45,88.89,2,1,1
87605,Netherlands,Bas de Leede,5,6,16,37.5,0,0,1
87605,Netherlands,Scott Edwards,6,10,9,111.11,0,1,1
87605,Netherlands,Teja Nidamanuru,7,0,1,0,0,0,1
87605,Netherlands,Logan van Beek,8,23,22,104.55,3,0,1
87605,Netherlands,Tim Pringle,9,0,2,0,0,0,1
87605,Netherlands,Paul van Meekeren,10,1,1,100,0,0,0
87605,South Africa,Reeza Hendricks,1,3,10,30,0,0,1
87605,South Africa,Quinton de Kock,2,0,0,0,0,0,1
87605,South Africa,Aiden Markram,3,0,3,0,0,0,1
87605,South Africa,Tristan Stubbs,4,33,37,89.19,1,1,1
87605,South Africa,Heinrich Klaasen,5,4,7,57.14,0,0,1
87605,South Africa,David Miller,6,59,51,115.69,3,4,0
87605,South Africa,Marco Jansen,7,3,5,60,0,0,1
87605,South Africa,Keshav Maharaj,8,0,1,0,0,0,0
87612,Australia,Travis Head,1,34,18,188.89,2,3,1
87612,Australia,David Warner,2,39,16,243.75,2,4,1
87612,Australia,Mitchell Marsh,3,35,25,140,2,2,1
87612,Australia,Glenn Maxwell,4,28,25,112,3,1,1
87612,Australia,Marcus Stoinis,5,30,17,176.47,2,2,1
87612,Australia,Tim David,6,11,8,137.5,0,1,1
87612,Australia,Matthew Wade,7,17,10,170,3,0,0
87612,Australia,Pat Cummins,8,0,1,0,0,0,1
87612,Australia,Mitchell Starc,9,0,0,0,0,0,0
87612,England,Philip Salt,1,37,23,160.87,4,2,1
87612,England,Jos Buttler,2,42,28,150,5,2,1
87612,England,Will Jacks,3,10,10,100,1,0,1
87612,England,Jonny Bairstow,4,7,13,53.85,0,0,1
87612,England,Moeen Ali,5,25,15,166.67,0,3,1
87612,England,Harry Brook,6,20,16,125,2,0,0
87612,England,Liam Livingstone,7,15,12,125,0,1,1
87612,England,Chris Jordan,8,1,3,33.33,0,0,0
87619,West Indies,Brandon King,1,13,8,162.5,2,0,1
87619,West Indies,Johnson Charles,2,44,42,104.76,4,2,1
87619,West Indies,Nicholas Pooran,3,22,17,129.41,0,3,1
87619,West Indies,Rovman Powell,4,23,18,127.78,1,1,1
87619,West Indies,Sherfane Rutherford,5,22,16,137.5,2,1,1
87619,West Indies,Andre Russell,6,30,17,176.47,6,0,0
